TQ,DPQ,C,OU,DI,DFT,DFO,RD
1,2,0,1,3,0,0,3
3,1,1,0,23,12,1,11
2,3,4,2,24,4,6,19
1,4,1,0,1,1,3,1
2,0,1,1,34,10,6,24
1,4,0,3,3,1,2,2
2,4,1,2,5,1,3,4
0,2,3,1,36,3,6,35
3,0,1,3,33,15,8,17
2,3,2,2,5,2,1,2
0,1,4,4,33,8,25,26
3,2,1,4,5,3,2,2
1,2,3,3,10,2,3,7
3,2,2,4,10,3,6,8
0,0,3,4,57,14,37,43
2,2,4,4,12,2,8,8
1,2,1,0,9,1,0,9
2,3,4,3,20,8,6,11
4,3,2,0,0,0,3,1
4,0,4,4,75,60,12,15
3,3,0,2,3,0,4,3
0,2,0,0,3,1,2,1
0,4,2,0,16,3,2,13
3,2,3,2,8,4,2,3
3,0,0,4,17,5,11,12
1,4,1,4,7,1,4,6
3,3,4,2,12,9,2,0
0,2,2,1,16,4,5,10
3,2,3,2,5,2,5,2
2,3,1,4,0,1,0,0
4,3,4,2,26,31,3,0
4,1,2,2,20,18,0,2
1,3,4,3,20,5,8,15
0,1,1,2,21,4,6,17
0,0,1,2,52,10,10,39
4,0,2,0,36,24,1,9
0,2,1,1,12,3,4,8
4,1,2,4,27,21,2,6
4,4,1,2,6,6,2,2
4,1,1,3,27,23,1,3
4,2,1,3,14,12,3,2
2,4,3,4,14,3,8,9
2,2,0,2,9,3,0,2
4,2,0,3,4,2,3,1
2,0,1,2,33,3,11,29
1,1,1,4,10,2,5,8
4,3,2,4,18,8,11,11
4,2,4,2,41,26,3,13
0,0,2,1,63,12,9,50
0,3,0,2,2,0,0,3
2,2,0,2,3,0,5,3
4,2,0,4,4,5,2,1
1,4,4,0,22,3,1,19
2,4,2,3,7,1,0,5
2,3,0,1,6,2,4,3
2,1,2,0,28,11,4,17
1,3,4,1,8,2,0,5
2,4,2,1,6,1,3,5
0,3,1,0,7,0,1,6
3,2,2,0,25,10,3,15
1,4,0,1,1,1,2,1
3,3,4,0,21,7,3,14
3,1,2,3,17,3,6,12
0,2,0,4,7,0,5,7
0,1,2,4,33,4,27,30
0,2,2,0,11,2,3,9
0,2,2,4,15,3,11,12
1,1,3,1,34,2,4,32
0,1,3,1,42,11,4,30
0,1,3,0,40,5,9,36
1,4,1,3,3,1,1,2
2,1,1,0,25,13,1,12
1,3,4,4,20,3,16,18
3,4,4,3,11,5,3,6
3,0,2,1,46,23,4,22
0,0,3,2,62,5,19,57
2,2,4,2,19,3,3,17
0,1,2,3,28,8,8,20
2,1,4,3,38,7,15,30
1,1,0,2,5,1,2,5
0,3,2,3,7,1,2,6
3,3,1,3,14,7,3,8
3,2,0,3,1,1,0,0
4,0,1,2,35,29,3,5
3,0,3,1,76,40,7,35
3,1,1,4,26,9,11,17
2,2,2,4,15,3,10,10
1,1,0,0,10,3,4,7
3,3,4,0,6,3,3,3
1,1,0,4,10,2,3,7
4,3,3,1,17,16,0,0
4,4,3,0,5,4,1,0
1,0,0,3,20,6,5,13
0,0,3,3,60,15,20,45
0,4,1,2,5,1,1,4
3,2,2,3,16,6,4,9
4,3,2,0,18,14,2,4
3,4,4,1,9,2,2,8
0,1,2,3,27,7,8,19
4,0,0,2,9,8,2,1
3,3,2,0,4,2,4,2
3,0,3,1,66,30,7,36
4,2,2,3,10,8,3,1
2,2,2,4,10,5,5,5
2,3,4,1,17,6,4,12
0,1,3,4,3,0,3,2
0,0,2,3,44,8,17,36
0,0,0,2,20,4,6,16
2,2,2,0,8,3,2,6
3,2,4,4,19,11,4,7
1,3,1,0,11,4,3,8
2,2,3,3,33,11,11,20
2,4,0,1,3,1,2,1
1,2,0,0,3,1,1,0
1,2,0,4,7,3,3,3
1,0,4,0,92,21,10,72
0,3,4,3,10,0,1,9
4,3,2,4,5,2,3,3
1,2,1,0,15,3,0,10
2,4,4,3,16,8,4,7
3,1,0,0,4,1,1,3
4,0,4,3,77,66,5,12
1,0,1,1,28,1,8,26
3,0,2,0,63,29,6,32
0,3,3,4,16,4,7,12
1,4,1,3,1,1,1,1
0,4,4,4,19,4,12,13
0,2,1,4,5,0,2,4
0,4,4,3,15,3,3,11
3,2,4,4,26,8,12,20
2,1,4,2,32,11,7,19
3,3,1,2,5,3,1,1
2,2,4,4,15,1,6,12
2,0,1,0,25,9,3,15
4,3,4,3,17,9,3,8
3,0,0,2,22,15,1,7
3,2,2,4,0,1,0,0
3,0,4,4,75,32,37,44
0,1,3,2,47,1,16,42
1,1,3,1,19,6,4,14
1,3,1,1,5,0,0,5
2,2,2,4,15,7,6,8
2,0,2,4,28,10,16,17
4,1,1,4,17,15,0,1
4,1,4,2,50,44,2,5
0,2,3,2,32,9,9,24
3,3,2,3,7,3,1,3
2,1,4,2,33,6,7,25
2,2,3,4,13,3,8,10
1,0,1,2,48,8,13,39
1,2,3,2,15,3,3,12
4,0,2,2,64,57,3,5
4,2,1,2,3,2,3,1
3,2,1,0,7,2,0,5
0,4,4,4,16,0,13,16
3,3,2,4,24,10,10,13
0,0,0,4,12,0,7,11
4,0,3,0,45,44,1,2
0,1,2,4,22,3,16,17
1,4,4,2,9,2,3,7
3,0,0,0,0,1,0,2
0,2,0,2,7,0,1,6
1,1,3,1,29,13,0,15
3,0,2,0,42,21,3,21
0,0,4,0,66,14,7,51
2,3,0,0,7,1,1,4
4,4,0,4,3,1,6,2
3,2,0,0,6,3,7,3
3,3,4,1,13,7,2,4
2,3,1,1,4,2,3,2
0,2,2,4,10,2,6,8
3,2,3,1,23,4,5,19
3,0,3,1,54,38,1,15
3,0,1,4,49,24,23,26
3,3,3,2,19,4,5,15
3,2,1,2,4,1,5,1
4,1,3,2,28,20,0,8
1,4,1,3,7,1,7,6
1,0,1,4,23,8,7,15
3,0,3,0,55,26,5,27
4,3,2,4,12,9,4,3
0,3,1,4,16,4,7,10
3,2,2,2,11,4,0,3
0,3,1,1,11,2,4,10
1,2,3,2,18,6,5,10
4,2,1,4,10,11,0,2
4,2,0,3,7,0,4,5
0,1,2,1,21,4,4,18
4,1,2,4,21,20,2,1
1,4,0,0,3,0,1,3
4,4,0,1,5,2,0,3
2,0,2,3,45,15,9,27
1,2,4,2,22,3,4,20
2,3,0,2,2,1,2,2
2,3,4,2,34,16,5,18
1,3,0,2,3,1,3,1
1,4,1,1,4,1,4,2
3,2,1,3,11,1,7,10
1,2,0,4,10,3,3,7
2,2,0,2,5,1,4,3
1,4,3,2,9,0,0,9
0,0,1,3,31,7,10,23
0,0,3,2,62,3,16,57
2,4,1,0,12,3,1,9
4,2,4,1,15,13,2,2
1,0,2,0,45,6,7,38
4,0,4,0,86,80,3,5
3,2,4,2,5,1,2,2
1,4,0,1,3,0,3,1
0,2,4,0,7,0,5,6
3,1,0,1,4,0,1,5
4,4,4,3,11,8,0,1
0,0,0,1,1,0,1,1
2,4,0,3,0,0,0,1
3,1,1,3,24,17,4,5
1,1,3,4,24,1,20,23
3,4,1,3,0,1,2,0
0,0,1,1,23,2,4,21
4,2,1,2,11,9,2,3
2,4,2,2,9,2,1,7
0,1,4,1,37,9,7,30
2,0,0,2,2,1,2,0
2,0,2,3,54,21,15,33
1,2,4,4,17,3,11,14
1,1,1,4,21,3,18,16
4,4,3,0,25,15,1,8
4,0,0,1,7,9,0,3
2,2,3,4,10,4,3,6
4,1,2,4,5,2,1,2
0,3,1,0,4,1,0,1
1,1,1,4,23,4,20,19
1,4,4,1,5,1,3,4
0,4,0,3,4,0,4,4
4,2,2,0,18,14,0,4
4,1,0,4,3,3,1,1
4,0,0,0,23,19,3,4
1,3,3,3,12,6,2,7
4,2,1,0,6,6,1,2
0,1,1,4,22,5,12,17
4,0,1,2,24,14,1,8
2,3,2,3,8,6,1,1
4,2,0,3,4,2,0,3
1,1,4,4,37,15,18,21
3,0,2,0,37,17,3,19
2,3,4,3,3,0,1,3
3,3,1,2,7,5,1,1
3,0,0,1,15,3,0,11
3,1,2,4,16,8,5,6
0,2,4,3,27,5,14,22
3,0,2,1,55,20,8,33
1,0,3,3,46,3,16,40
0,0,1,3,27,8,10,18
0,3,4,4,30,5,25,25
4,3,3,1,15,12,1,4
3,2,3,4,6,2,2,1
0,0,2,4,43,14,21,27
4,1,4,2,50,35,6,15
4,2,3,2,16,10,2,5
3,3,3,3,18,11,5,6
3,2,1,0,12,3,2,7
1,3,3,4,16,1,13,14
3,3,1,4,4,1,2,2
3,0,2,0,55,25,3,30
3,4,1,2,9,0,1,8
2,2,4,0,23,7,0,16
0,0,2,2,43,9,9,33
2,4,2,1,9,3,3,6
3,4,2,1,8,4,2,4
3,3,3,0,7,3,1,5
1,3,1,0,11,2,3,8
0,3,4,3,19,0,7,18
3,1,0,2,13,3,3,8
4,2,2,3,9,8,1,2
0,0,2,0,29,0,5,27
4,1,3,2,38,23,5,13
4,4,2,4,13,9,5,5
3,4,4,2,16,3,2,13
2,3,1,1,7,3,3,3
3,2,2,0,27,13,3,15
0,0,0,4,22,4,12,16
0,1,2,0,24,0,2,25
0,2,1,2,2,0,0,0
3,3,4,4,23,8,12,15
1,0,4,0,67,13,10,53
4,0,0,3,17,16,1,0
0,4,3,4,9,3,4,5
1,1,0,4,8,2,4,7
1,4,0,1,1,0,2,1
1,4,2,3,9,1,6,7
4,0,0,2,18,16,1,2
2,0,2,3,44,8,13,37
3,2,3,4,22,16,6,6
0,4,1,1,7,1,2,5
3,0,0,3,31,11,6,19
0,2,4,1,28,6,2,20
3,0,2,1,45,22,4,22
4,4,2,2,11,16,5,2
0,2,1,4,20,1,16,18
2,1,1,0,7,2,1,6
1,3,2,1,8,1,4,7
1,1,1,0,41,9,4,31
4,1,2,4,37,27,9,10
3,4,4,2,17,10,3,6
1,4,2,1,8,1,2,6
4,0,1,1,13,5,2,8
0,1,0,0,6,1,0,5
3,1,1,2,26,15,1,10
2,2,2,4,21,5,12,15
4,3,1,0,9,4,2,4
4,3,0,4,4,3,1,0
4,1,3,1,26,14,4,12
4,2,1,4,5,4,2,1
1,0,4,4,80,23,46,57
4,4,0,4,3,2,0,0
4,1,1,0,15,15,0,0
2,0,2,3,34,5,9,28
0,3,2,2,27,5,5,21
2,0,3,1,59,22,9,37
1,2,1,3,8,2,3,7
4,4,2,1,13,5,3,8
1,1,2,4,8,1,6,7
3,3,4,4,7,4,1,4
1,3,4,0,26,9,7,18
1,4,4,0,30,3,6,26
4,4,3,2,1,1,1,1
0,4,0,2,8,1,2,8
2,0,0,4,10,3,1,6
3,3,0,3,4,0,4,4
1,1,2,2,7,3,1,3
4,1,4,3,26,23,0,2
2,2,3,2,23,4,8,21
2,1,0,2,10,4,3,4
2,0,1,3,20,4,7,16
0,0,0,0,8,0,1,7
3,2,0,2,2,1,1,2
4,2,1,0,9,12,2,2
0,0,4,3,74,23,25,52
2,0,4,0,75,29,4,46
3,2,1,0,4,2,1,2
3,1,0,2,9,3,3,6
3,3,3,1,15,6,1,8
4,3,0,1,0,0,5,1
2,2,1,3,19,5,6,12
4,3,4,3,23,15,4,7
4,0,2,0,48,33,3,14
3,3,4,1,15,7,2,10
1,2,2,0,21,1,2,21
0,3,4,1,37,4,6,31
1,1,0,0,6,1,2,4
1,2,3,2,13,2,3,10
2,4,2,1,11,2,2,9
4,1,2,4,19,16,1,2
0,2,0,0,9,1,4,9
0,3,1,1,9,2,1,4
0,2,1,3,14,2,3,12
1,3,4,0,10,1,1,8
3,2,0,3,4,3,4,1
0,1,3,1,32,3,8,29
2,2,1,0,6,1,1,5
2,0,0,1,12,2,3,8
0,1,1,0,12,2,1,9
2,1,3,4,31,5,20,28
1,2,4,3,15,3,1,10
2,1,4,3,24,2,10,21
1,4,3,0,13,3,1,9
0,4,3,0,12,2,1,10
1,4,0,3,5,0,2,4
2,4,0,4,1,0,4,2
3,1,0,3,15,2,2,12
0,0,0,0,23,5,4,17
4,1,4,1,38,25,4,13
4,1,4,4,25,15,7,10
3,1,2,2,30,9,8,21
0,1,2,2,30,3,7,26
1,0,0,0,16,0,4,16
0,0,0,3,6,1,2,3
0,1,4,3,51,11,21,39
0,0,3,3,63,12,21,52
2,2,3,2,33,8,6,26
3,1,2,4,31,13,14,16
0,0,0,0,9,1,4,9
4,1,1,1,18,11,1,7
0,3,0,1,3,1,1,2
3,3,3,4,5,2,7,5
3,2,0,2,1,0,2,0
4,1,2,3,19,8,5,11
4,0,1,1,28,21,2,6
1,3,0,3,5,0,0,5
1,3,4,2,0,0,2,0
0,4,4,3,10,1,3,8
4,1,1,1,9,4,2,4
0,3,1,1,3,1,0,1
2,3,1,1,1,0,1,1
1,4,4,0,15,3,3,11
0,3,4,0,19,4,6,16
4,2,3,2,31,18,1,13
4,2,3,2,14,12,2,2
3,1,0,2,2,2,0,1
2,0,1,0,38,6,5,32
1,0,4,2,70,13,15,58
2,0,0,4,22,5,11,16
1,4,3,0,13,2,4,11
2,4,2,1,0,1,1,1
4,3,3,1,20,15,1,5
0,0,1,1,18,4,2,13
3,3,4,1,43,18,4,25
4,0,4,4,63,49,11,13
0,2,3,0,20,2,3,17
3,0,0,1,8,3,2,5
4,2,2,2,19,14,2,3
1,4,3,4,9,2,2,8
2,1,1,3,19,8,1,10
2,1,4,0,30,13,1,16
4,4,4,2,22,15,2,8
4,1,0,2,7,7,2,0
2,2,2,3,11,1,3,9
2,2,4,3,15,4,1,7
4,1,3,2,17,12,0,3
3,1,3,4,35,24,11,11
2,3,0,3,3,0,3,3
2,2,2,1,26,13,3,12
1,0,4,3,83,18,29,64
2,3,3,4,3,0,1,2
1,2,0,0,4,1,2,4
0,0,3,4,62,5,44,55
0,0,0,1,11,3,1,7
0,0,0,0,13,2,2,11
4,1,0,0,8,4,5,3
3,0,1,3,27,11,7,15
0,2,0,4,2,0,5,4
0,0,4,1,72,14,17,58
1,1,1,1,16,3,1,13
4,1,1,0,18,7,1,11
0,3,2,4,22,4,13,18
0,0,3,0,68,8,13,57
3,2,4,3,31,12,9,18
3,4,4,2,4,2,0,1
4,2,3,0,24,24,1,1
0,4,4,0,23,6,1,15
1,3,2,4,13,4,7,9
1,3,2,2,2,1,0,1
0,3,3,3,20,6,8,14
4,2,2,4,11,6,4,5
1,2,0,0,7,0,0,6
4,1,1,0,16,8,1,7
1,2,3,4,12,3,4,6
3,4,1,0,6,5,2,2
0,0,3,3,48,20,12,30
2,4,4,4,13,1,12,12
2,0,1,0,26,4,6,21
2,2,0,0,3,0,3,2
3,0,4,2,71,30,15,40
3,4,2,4,9,1,4,8
3,4,4,4,11,4,3,7
1,0,3,3,58,15,22,42
2,2,2,3,18,8,10,10
3,1,1,0,11,7,1,2
2,3,2,1,9,2,0,7
4,0,0,4,12,10,1,1
1,3,0,3,2,0,4,2
4,4,3,3,18,13,2,4
0,2,1,2,5,0,2,5
0,4,3,0,5,0,0,5
2,1,1,4,6,2,3,5
3,1,3,2,23,19,4,4
0,1,4,4,51,8,40,43
2,4,2,3,4,1,3,4
2,1,2,2,5,0,2,4
1,4,3,4,6,1,6,5
3,3,4,1,30,14,3,16
3,0,0,3,8,1,0,6
3,0,0,4,19,11,2,6
4,4,4,1,26,20,1,5
3,4,1,2,12,6,4,7
4,0,1,2,26,14,4,10
4,0,0,4,18,14,4,3
4,1,0,2,5,3,0,1
3,3,0,2,3,1,2,2
4,2,3,1,15,10,1,5
0,4,3,4,5,0,4,4
1,4,3,4,21,2,17,19
4,3,4,2,20,12,3,7
1,3,2,4,1,1,2,1
0,3,0,2,3,1,0,2
4,2,1,1,4,5,1,0
1,1,3,2,39,14,4,22
2,2,2,3,17,6,4,11
4,2,1,1,21,19,0,1
1,3,3,1,22,1,5,19
4,1,2,4,25,14,8,12
1,4,3,2,21,4,5,17
3,1,1,4,19,10,5,8
3,4,0,4,4,0,0,2
0,1,1,2,22,5,7,18
0,2,0,0,4,1,3,4
4,1,1,2,8,2,4,6
3,0,2,2,53,19,9,34
2,3,3,4,6,1,2,3
2,4,0,4,4,1,1,1
1,2,1,2,11,2,0,9
4,1,4,3,18,12,4,6
1,4,3,1,11,0,0,11
4,1,2,1,23,12,0,11
0,0,0,0,21,7,3,14
0,4,4,2,12,3,1,9
4,4,3,3,10,1,3,9
3,1,0,4,11,7,6,4
4,0,4,1,78,67,4,11
3,0,4,3,78,33,21,45
4,4,4,3,13,11,3,2
3,0,2,2,43,22,7,21
2,1,4,1,14,5,5,8
0,3,2,4,18,5,11,11
1,2,3,2,30,10,7,19
2,4,4,2,34,16,5,17
1,1,0,4,9,2,7,7
2,2,1,1,13,3,3,10
2,1,3,4,38,20,13,17
1,2,0,3,3,1,3,2
4,3,0,2,1,0,4,2
4,4,4,1,18,24,2,1
3,3,1,0,10,7,0,3
0,4,1,2,8,0,0,7
1,1,2,2,28,3,7,23
0,3,0,3,0,1,1,0
3,4,4,3,7,4,1,2
4,4,4,3,8,6,2,2
3,4,2,1,0,1,1,3
3,3,1,0,5,2,2,2
2,3,2,2,18,6,4,11
4,4,3,2,11,6,2,4
1,4,4,0,19,6,0,14
4,4,2,3,12,9,0,3
4,2,4,0,50,46,1,3
3,0,0,0,12,4,1,6
2,3,2,2,2,1,1,3
1,3,3,0,12,0,3,11
0,1,1,4,10,1,9,11
3,1,3,0,29,12,2,17
4,0,0,2,12,9,0,2
4,3,1,1,7,4,2,3
2,4,1,2,11,3,0,6
2,2,4,3,17,5,3,12
1,2,0,4,7,2,2,3
0,2,0,2,6,1,1,4
4,2,3,4,26,24,2,2
0,4,0,3,0,1,2,1
2,2,0,3,4,1,4,3
2,1,3,3,59,16,18,41
2,3,4,0,26,1,1,24
2,2,1,3,7,3,3,3
0,3,0,0,4,0,3,5
1,1,3,0,26,6,6,21
4,1,2,4,23,18,3,4
0,4,4,3,21,1,9,20
3,3,4,4,4,2,1,0
0,0,0,3,28,5,7,21
0,2,2,4,4,1,4,3
2,3,4,2,18,1,3,16
4,1,0,2,10,7,2,4
1,3,0,1,6,2,3,4
3,1,3,1,11,7,2,4
0,4,4,4,18,4,13,13
2,1,4,2,56,19,12,38
1,0,4,4,43,3,27,39
4,3,3,4,17,19,1,2
1,0,3,4,76,17,50,61
4,2,1,0,3,3,1,0
0,3,4,4,29,4,19,26
3,2,2,4,18,10,8,6
4,1,1,1,25,26,3,0
2,4,0,2,3,0,2,3
2,4,3,0,19,11,1,9
3,0,1,0,37,24,4,13
4,2,1,1,18,13,1,3
0,0,3,2,30,7,7,23
2,1,2,3,19,9,6,13
4,0,4,1,58,61,1,0
0,1,2,4,29,4,21,24
0,3,0,0,6,1,0,4
2,2,2,0,9,1,0,6
0,3,2,2,6,2,1,5
4,0,2,2,47,38,3,10
3,0,1,0,24,9,3,14
4,1,3,0,27,25,1,2
3,2,1,4,10,3,1,7
4,1,2,2,18,16,3,1
4,1,2,2,33,21,4,13
2,3,1,4,10,3,3,7
3,0,1,4,25,11,11,14
4,3,1,4,8,5,3,2
1,3,1,3,7,1,6,6
2,3,0,3,4,1,0,4
1,2,4,4,0,1,1,0
0,4,2,3,2,1,4,1
1,0,1,1,23,5,4,19
2,0,3,0,51,19,8,31
4,1,2,4,23,18,4,5
3,0,2,4,39,16,19,23
2,2,2,0,9,2,4,6
2,1,4,2,42,16,7,25
1,1,1,3,11,1,5,13
1,4,3,3,11,3,4,10
1,3,4,0,25,11,2,14
0,3,1,1,9,1,3,7
1,1,3,4,22,9,13,12
4,2,0,4,5,3,3,2
3,2,1,2,9,2,2,7
2,3,2,4,8,2,1,5
2,0,4,3,70,27,17,42
4,1,2,1,28,19,1,9
4,0,4,4,68,60,2,8
3,0,2,2,49,20,9,28
0,1,2,0,27,1,6,26
2,0,0,3,12,4,1,9
1,4,2,2,14,3,1,11
0,3,4,0,33,11,4,21
3,1,1,3,15,10,2,4
2,4,3,1,12,3,2,9
1,3,1,1,4,1,2,3
0,2,3,4,34,8,18,25
3,3,4,4,15,6,8,8
2,3,4,1,8,2,4,4
1,2,2,0,8,1,3,6
4,4,1,4,5,4,0,0
3,4,1,1,7,1,2,6
4,4,2,0,11,8,1,1
0,0,4,3,55,14,20,41
1,4,1,1,1,0,1,2
0,0,1,2,31,5,10,24
0,2,0,4,1,1,2,0
3,4,4,2,17,8,0,8
3,4,0,3,3,0,0,0
4,3,0,1,1,0,2,1
1,4,2,0,9,2,5,7
3,2,3,2,27,9,1,17
4,4,0,3,4,3,2,0
1,1,4,2,47,13,8,33
2,1,1,4,36,8,22,28
2,2,1,3,13,4,6,8
2,2,1,2,5,1,5,6
4,1,1,0,12,7,0,4
0,3,4,4,12,2,8,11
1,2,2,2,2,1,3,1
4,3,1,2,6,6,0,0
2,4,2,2,12,5,4,7
2,3,0,4,4,0,4,3
4,1,0,3,4,3,2,3
3,3,2,2,20,10,3,10
2,4,4,2,2,0,0,1
2,4,3,4,18,1,15,17
2,1,0,2,10,1,4,9
4,4,3,0,12,3,5,9
3,1,0,3,13,9,1,4
1,4,3,3,17,4,3,12
0,0,0,3,26,4,11,20
0,1,2,1,30,4,8,25
0,3,0,2,2,1,0,2
0,4,3,4,1,1,2,0
1,1,0,3,12,3,4,9
2,4,2,3,8,0,2,8
4,1,3,1,9,9,3,2
4,4,1,2,3,3,4,0
3,4,4,0,21,12,3,7
0,1,4,3,28,3,9,25
1,3,2,4,12,3,7,8
0,2,0,2,4,2,1,2
4,4,0,4,5,5,3,1
3,1,3,0,40,13,4,27
3,4,3,4,4,0,2,3
3,3,3,3,13,8,2,5
0,0,3,4,49,16,24,31
0,2,2,4,17,1,12,15
2,3,4,2,21,9,4,11
2,1,4,1,35,16,2,18
2,1,2,2,28,0,10,28
4,1,4,3,36,32,5,4
1,4,0,2,2,0,1,1
0,1,3,1,8,0,1,6
3,0,1,3,35,18,6,18
4,0,1,3,16,4,6,12
0,3,4,4,49,6,36,42
3,4,1,0,9,4,0,6
2,3,0,3,1,1,1,1
1,3,4,2,30,3,6,27
2,1,2,0,10,3,1,8
0,2,0,1,2,0,0,1
1,2,2,1,20,4,3,17
2,3,4,0,15,7,2,7
0,3,0,3,0,0,0,0
2,3,3,3,22,3,11,17
0,2,4,1,23,4,4,17
0,3,3,4,18,4,13,14
0,2,1,3,4,0,1,2
0,1,0,0,4,0,0,4
3,2,4,2,15,9,0,5
1,0,3,3,68,13,25,55
0,1,1,4,15,6,6,10
1,1,0,4,8,1,6,6
3,3,0,4,5,3,0,1
2,4,2,0,11,6,3,4
2,1,0,2,5,0,2,4
2,3,2,3,17,3,7,15
4,2,2,2,17,20,2,0
1,4,4,2,16,3,2,12
0,0,1,0,46,5,10,42
1,3,4,4,23,9,9,14
2,1,1,0,4,0,1,5
1,2,3,3,28,2,13,25
1,0,3,4,49,21,25,27
4,3,3,1,12,4,0,6
0,2,1,0,13,1,1,12
2,4,0,3,3,0,4,2
2,1,1,2,20,3,3,17
3,3,4,2,27,15,3,11
4,2,0,2,8,7,1,1
3,2,3,1,19,14,1,4
1,4,2,4,7,2,3,5
3,1,3,4,16,8,4,6
0,3,4,3,27,7,9,19
4,3,2,4,21,19,3,2
3,2,1,3,21,21,2,1
4,1,2,4,27,20,6,6
4,4,0,4,4,2,2,1
3,2,1,3,7,4,3,3
0,0,3,4,46,7,31,38
2,1,1,2,4,0,3,4
1,4,0,0,2,1,1,0
0,3,3,1,6,2,2,3
0,1,1,2,8,3,2,5
4,1,1,3,8,11,0,0
0,0,4,2,64,14,17,49
2,3,0,1,2,0,4,1
1,3,2,4,5,1,2,4
4,0,0,2,16,11,2,4
1,3,0,2,4,1,0,3
3,3,3,1,15,9,2,7
4,4,0,4,1,0,1,0
0,0,0,4,17,2,11,15
2,2,2,2,8,4,5,4
1,3,4,4,35,8,23,26
2,1,1,4,3,1,4,2
2,4,1,3,6,2,2,2
1,3,2,2,19,4,7,14
2,3,2,4,20,8,11,12
2,4,4,4,11,4,6,7
3,4,1,2,7,3,1,3
1,4,1,1,8,3,1,3
3,0,4,1,85,44,9,40
3,0,3,1,61,22,10,40
1,2,0,4,4,0,1,3
0,2,4,4,29,4,18,25
2,1,4,0,30,15,1,16
4,4,0,1,1,1,0,1
3,3,1,0,4,0,1,3
2,1,4,0,34,11,6,23
0,4,3,2,14,2,6,12
1,3,4,0,17,1,2,14
3,0,0,1,8,4,4,5
4,3,0,2,4,4,0,1
3,0,4,3,72,37,17,35
1,2,4,2,26,11,2,13
2,3,3,4,10,2,5,7
2,3,2,2,17,8,3,9
4,4,4,2,21,15,3,6
1,4,3,1,0,1,1,0
2,1,2,2,9,2,3,5
4,0,3,1,57,53,0,3
4,2,0,3,6,4,6,0
2,0,1,0,19,9,5,9
3,4,4,3,14,8,7,6
0,1,3,1,38,6,8,31
4,4,0,1,3,1,3,2
0,1,1,3,3,0,2,3
2,0,1,2,31,6,9,24
3,4,1,2,13,4,5,9
4,4,3,1,18,13,2,2
3,4,2,1,13,4,4,10
0,0,0,3,12,1,5,11
3,4,0,1,1,0,1,2
4,0,4,3,83,71,0,11
3,4,3,3,4,2,0,2
0,2,3,3,0,1,0,1
0,2,2,3,8,1,2,6
4,4,4,4,5,3,0,2
4,0,3,1,48,39,1,8
1,3,3,3,22,7,4,13
4,2,1,2,14,7,0,6
2,1,3,1,34,7,4,26
2,2,3,2,6,1,2,5
0,4,4,2,15,3,3,11
2,0,0,3,7,2,3,5
0,4,2,3,6,1,4,4
3,0,4,2,72,27,16,44
0,2,1,3,12,2,6,10
3,1,4,0,34,13,2,21
1,0,4,3,58,8,21,48
4,2,4,2,43,36,5,6
2,2,0,2,6,2,1,4
1,0,3,4,60,6,45,53
2,2,2,1,4,1,3,2
4,4,2,1,11,2,0,9
1,1,2,0,19,7,1,12
1,2,4,2,28,1,7,28
4,2,2,2,13,12,4,0
1,4,2,2,8,3,2,4
3,1,3,2,29,7,3,20
4,1,1,3,5,6,5,1
4,4,1,4,7,0,2,5
1,1,3,2,25,3,5,22
4,1,1,4,1,1,1,0
1,1,0,0,8,0,4,10
4,0,1,0,24,22,1,1
4,2,1,0,10,10,1,0
2,1,3,2,37,5,9,32
2,3,1,4,8,0,6,6
4,3,0,2,2,2,2,1
1,3,0,4,3,0,1,2
0,0,0,4,35,9,20,28
3,2,4,4,21,2,12,19
4,1,3,4,33,23,10,9
3,0,3,3,51,32,10,17
0,4,1,0,2,0,3,0
0,3,2,2,9,1,2,7
4,4,4,3,25,21,0,4
2,1,0,0,2,0,2,0
3,1,3,2,15,13,1,0
1,0,3,1,46,9,10,38
0,4,3,1,15,4,0,11
0,3,0,0,0,0,1,0
1,1,4,3,23,1,8,21
4,3,2,3,17,10,1,6
2,2,2,1,13,3,0,9
0,4,4,0,14,0,4,13
2,4,1,4,7,2,5,4
1,2,1,0,10,0,2,12
2,2,4,1,21,6,5,14
3,1,1,1,27,11,3,16
0,2,3,4,22,3,15,17
0,3,4,4,14,1,10,11
2,3,2,4,20,8,9,12
2,4,1,2,6,3,0,2
2,0,0,3,20,4,5,15
2,1,1,0,15,4,0,11
1,4,4,1,17,2,5,14
3,3,4,4,12,6,0,4
0,3,2,1,18,5,3,11
4,0,3,4,65,56,8,8
0,1,4,0,35,2,6,33
1,0,4,4,71,16,46,54
0,0,3,4,60,14,38,44
0,3,0,4,1,1,2,2
3,1,3,0,27,10,3,17
1,3,4,3,4,0,2,4
1,0,2,4,42,13,27,29
0,2,4,0,13,2,2,11
4,2,0,1,8,4,1,4
2,3,3,3,17,4,4,13
3,0,3,3,65,35,13,28
4,2,4,1,20,14,0,4
1,4,3,1,8,1,2,6
3,0,3,1,52,19,7,32
2,0,1,3,21,9,6,13
4,4,3,0,13,17,2,1
2,2,3,4,22,4,14,17
0,3,1,0,10,3,4,7
0,0,3,4,71,7,52,63
3,0,4,1,59,29,8,31
2,3,1,4,10,0,12,9
1,1,3,0,32,4,4,29
1,3,2,3,11,1,6,10
1,1,0,4,8,0,8,6
1,1,0,0,4,0,3,3
